Joyce, James;A Portrait of the Artist as a Young Man;"[""Fiction"",""Artists"",""Young men"",""Facsimiles"",""Fiction in English"",""Manuscripts"",""English Manuscripts"",""Autobiographical fiction"",""Literature"",""Classic Literature"",""Coming of age"",""Psychological fiction"",""Stephen Dedalus"",""Stephen Dedalus (Fictitious character)"",""Authors"",""open_syllabus_project"",""Portrait of the artist as a young man (Joyce, James)"",""Portrait of the artist as a young man"",""Stephen Dedalus (Fictional character)"",""Bildungsromans"",""British and irish fiction (fictional works by one author)"",""Artists, fiction"",""Fiction, coming of age"",""Dublin (ireland), fiction"",""Dedalus, stephen (fictitious character), fiction"",""English literature"",""Fiction, general"",""Ireland, fiction"",""Fiction, romance, general"",""Fiction, biographical"",""Large type books"",""Social life and customs""]";;/works/OL86343W;OL32071885M
Joyce, James;Ulysses;"[""Married people"",""Male friendship"",""Fiction in English"",""Fiction"",""Historical Fiction"",""Psychological fiction"",""Alienation (Social psychology)"",""Textual Criticism"",""Molly Bloom (Fictitious character)"",""Bloom, Molly (Personaje literario)"",""Men"",""Facsimiles"",""Jewish men"",""Leopold Bloom (Fictitious character)"",""English Manuscripts"",""Classic Literature"",""Domestic fiction"",""Proofs (Printing)"",""Prohibited books"",""Bloom, Leopold (Personaje literario)"",""Open Library Staff Picks"",""Immoral Literature"",""open_syllabus_project"",""Translations into Irish"",""City and town life"",""Law and legislation"",""Manuscripts"",""Hombres"",""Artists"",""Ficción"",""Long Now Manual for Civilization"",""Stream of consciousness"",""British and irish fiction (fictional works by one author)"",""Bloom, leopold (fictitious character), fiction"",""Bloom, molly (fictitious character), fiction"",""Dublin (ireland), fiction"",""Fiction, psychological"",""Dedalus, stephen (fictitious character), fiction"",""Fiction, family life"",""Married people, fiction"",""Friendship, fiction"",""Joyce, james, 1882-1941"",""Photograph collections"",""Revolutions"",""Revolutionaries"",""Photography"",""Pictorial works"",""History"",""Artists, fiction"",""Fiction, general"",""English fiction"",""English literature"",""Ireland, fiction""]";792;/works/OL86344W;OL29689947M
Joyce, James;Finnegans Wake;"[""Facsimiles"",""Manuscripts"",""English Manuscripts"",""Notebooks, sketchbooks"",""Fiction"",""Older men"",""Dreams"",""Proofs (Printing)"",""Textual Criticism"",""Classic Literature"",""Family"",""open_syllabus_project"",""Long Now Manual for Civilization"",""Protestants"",""Hotelkeepers"",""Families"",""British and irish fiction (fictional works by one author)""]";;/works/OL86319W;OL17028838M
Junger, Ernst;Storm of Steel;null;319;/works/OL7967169W;OL8315939M
Junger, Ernst;The Glass Bees;;;;
Kadare, Ismail;Broken April;"[""Kanun"",""Fiction, general"",""New York Times reviewed""]";246;/works/OL963870W;OL3105065M
Kadare, Ismail;Spring Flowers, Spring Frost;"[""Fiction"",""Social life and customs""]";173;/works/OL963804W;OL4014781M
Kadare, Ismail;The Successor;"[""Politics and government"",""Communism"",""Shehu, Mehmet. in fiction"",""Dictatorship"",""Political fiction"",""Mehmet shehu in fiction"",""Albania in fiction"",""Politicians in fiction"",""Politicians"",""Fiction"",""Fiction, political"",""Balkan peninsula, fiction"",""Fiction, mystery & detective, general"",""Hommes politiques"",""Politique et gouvernment"",""Romans, nouvelles"",""History"",""Moral conditions"",""Fiction, historical, general""]";162;/works/OL963869W;OL22088106M
Kafka, Franz;The Trial;"[""Fiction, psychological"",""Continental european fiction (fictional works by one author)"",""Germanic literature"",""English literature"",""Fiction, general""]";178;/works/OL20901812W;OL28458986M
Kafka, Franz;The Castle;"[""Fiction"",""Bureaucracy"",""Castles"",""Criticism and interpretation"",""Classics"",""Classic"",""Continental european fiction (fictional works by one author)"",""New York Times reviewed""]";481;/works/OL15406570W;OL21515291M
Kafka, Franz;Amerika;"[""Immigrants in fiction"",""Adaptations"",""Translations into English"",""Fiction"",""Social conditions"",""Young men"",""Classic Literature"",""Immigrants"",""German fiction"",""Humorous stories"",""Austrian fiction"",""Continental european fiction (fictional works by one author)"",""Romance Alemao""]";331;/works/OL498795W;OL9593926M
Kawabata, Yasunari;A Thousand Cranes;;;;
Kazantzákis, Nikos;Zorba the Greek;;;;
Kazantzákis, Nikos;The Last Temptation of Christ;;;;
Kehlmann, Daniel;Measuring the World;"[""Fiction"",""Long Now Manual for Civilization"",""New York Times reviewed"",""Fiction, historical, general"",""Scientists, fiction"",""Fiction, biographical""]";272;/works/OL991411W;OL7425605M
Keller, Gottfried;Green Henry;"[""Fiction, general""]";706;/works/OL1446195W;OL14159042M
Kelman, James;The Busconductor Hines;null;237;/works/OL60979W;OL15051020M
Kelman, James;A Disaffection;null;337;/works/OL60983W;OL22914054M
Kelman, James;How Late It Was, How Late;"[""Blind"",""Ex-convicts"",""Fiction"",""Man Booker Prize Winner"",""award:man_booker_prize=1994"",""Fiction, general"",""Scotland, fiction"",""Fiction, humorous"",""Fiction, humorous, general""]";374;/works/OL60988W;OL18659600M
Kelman, James;Kieron Smith, boy;"[""Grandparent and child"",""Fiction"",""Social conditions"",""Children"",""Boys""]";422;/works/OL15843654W;OL17017162M
Keneally, Thomas;Schindler’s Ark;"[""Man Booker Prize Winner"",""Nazi party"",""award:man_booker_prize=1982"",""concentration camps"",""holocaust"",""jews"",""nazis"",""prize:booker=1982"",""Getto"",""Fiction"",""World War (1939-1945) fast (OCoLC)fst01180924"",""Belletristische Darstellung"",""Juden"",""World War, 1939-1945"",""Holocaust, Jewish (1939-1945) fast (OCoLC)fst00958866"",""Holocaust, Jewish (1939-1945)"",""Rettung"",""Ghetto"",""Jews"",""Rescue"",""Jews rescue (1939-1945 : World War) fast (OCoLC)fst01710189"",""Righteous Gentiles in the Holocaust"",""Fiction, biographical"",""Fiction, historical, general"",""Holocaust, jewish (1939-1945), fiction"",""Poland, fiction"",""Large type books""]";432;/works/OL10619574W;OL15588189M
Kennedy, A.L.;Looking for the Possible Dance;"[""Fiction, general"",""Fathers and daughters, fiction"",""Scotland, fiction"",""Fathers and daughters"",""Fiction"",""Interpersonal relations""]";256;/works/OL8463038W;OL7966737M
Kennedy, A.L.;Everything You Need;null;560;/works/OL7921791W;OL7426422M
Kerouac, Jack;On the Road;"[""Beat generation"",""Fiction"",""Autobiographical fiction"",""Beat generation in literature"",""History and criticism"",""American Autobiographical fiction"",""Literature"",""Classic Literature"",""Beat generation -- Fiction"",""Beats (Persons)"",""Bohemianism"",""Drugs"",""Jazz"",""Kerouac, Jack, 1922-1969"",""Literature - Classics / Criticism"",""Literature: Classics"",""Classics"",""Fiction / Literary"",""Page proofs (Printing)"",""Reading Level-Grade 11"",""Reading Level-Grade 10"",""Reading Level-Grade 12"",""NOVELAS ESTADOUNIDENSES"",""American fiction (fictional works by one author)"",""English language"",""Study guides"",""Examinations"",""Beats (Persons) in literature"",""New York Times reviewed""]";310;/works/OL65906W;OL21496240M
Kertész, Imre;Fatelessness;;;;
Kesey, Ken;One Flew Over the Cuckoo’s Nest;"[""Allegories"",""psychiatric nursing"",""medical novels"",""Belletristische Darstellung"",""Psychiatrische Klinik"",""Fiction"",""Psychiatric nurses in fiction"",""Psychiatric hospital patients in fiction"",""Psychiatric hospital patients"",""Psychiatric nurses"",""Mentally ill"",""Mentally ill in fiction"",""Psychiatric hospitals"",""Oregon in fiction"",""Psychiatric hospitals in fiction"",""Classic Literature"",""psychological fiction"",""satire"",""Psychiatric hospital patients -- Fiction"",""Psychiatric hospitals -- Fiction"",""Psychiatric nurses -- Fiction"",""Mentally ill -- Fiction"",""Oregon -- Fiction"",""Fiction, psychological"",""American fiction (fictional works by one author)"",""Large type books"",""Roman américain""]";372;/works/OL2944469W;OL31881833M
Kesey, Ken;Sometimes a Great Notion;"[""Fiction"",""Strikes and lockouts"",""Lumber trade"",""Fiction in English"",""Labor unions"",""Literature"",""individuality"",""competition"",""union warfare"",""American fiction (fictional works by one author)"",""Oregon, fiction"",""Fiction, family life""]";;/works/OL2944470W;OL14417747M
Kincaid, Jamaica;Annie John;"[""Coming of age"",""Mothers and daughters"",""Teenage girls"",""Fiction"",""Fiction, general""]";148;/works/OL15853955W;OL2865531M
